,prob_toxic,prob_constructive,like_count,treatment_score
1429,0.033334624,0.11816678,7958.0,8.863480118898353
7,0.022728346,0.5274905,3061.0,8.00692933687841
1412,0.50503236,0.106708884,3645.0,7.795139162673645
712,0.10566349,0.35956848,2686.0,7.78857777116088
1472,0.050573748,0.068169184,2787.0,7.730353308676536
714,0.014136819,0.32493976,2294.0,7.719130087284311
720,0.02968135,0.091954015,2349.0,7.648523542791327
3317,0.37458646,0.3763945,2567.0,7.615923231594408
744,0.06065326,0.48421115,2075.0,7.58718207047745
1456,0.01834645,0.15422586,2042.0,7.573555029455684
3333,0.040925518,0.5552554,1946.0,7.542849268725006
3947,0.05131592,0.18172787,2032.0,7.51662910386241
727,0.20056234,0.3568231,2154.0,7.509833873382126
3948,0.013068704,0.57455313,1831.0,7.503137984086232
3,0.10783285,0.11726139,2259.0,7.501131457521699
3335,0.1182615,0.10929321,2282.0,7.492104894920546
9,0.032156147,0.20371327,1880.0,7.477886612924588
713,0.6989911,0.10248133,2665.0,7.475553568785254
1432,0.025203144,0.20634092,1830.0,7.463553471463281
3949,0.025203144,0.12368249,1819.0,7.430349482476564
1446,0.023788974,0.23852259,1741.0,7.422181241880406
2754,0.04711028,0.6926747,1658.0,7.385642528011557
734,0.2648175,0.09432412,2250.0,7.377622109225121
0,0.02072494,0.5854431,1598.0,7.362000220784081
2748,0.027913637,0.20371327,1652.0,7.3567653076192725
737,0.05280026,0.39270046,1645.0,7.3534375829708045
736,0.10175867,0.26450998,1702.0,7.316123055245255
4583,0.2359567,0.2102981,1904.0,7.312643093214011
2087,0.1460314,0.41602656,1666.0,7.30313000305134
2086,0.02449606,0.5306623,1503.0,7.296514942219253
1458,0.059479803,0.6573906,1471.0,7.258063779610477
2737,0.1641865,0.46030796,1564.0,7.239608339325383
745,0.03062413,0.14807095,1496.0,7.236040141483273
8,0.6289369,0.3743664,1833.0,7.231628729400055
6,0.051810697,0.60371864,1426.0,7.228885559939053
730,0.050078966,0.24125785,1478.0,7.223841078876105
748,0.018849092,0.14995342,1426.0,7.2146666562812785
1415,0.01237757,0.42431307,1373.0,7.2131935195466035
4587,0.024378212,0.56534135,1377.0,7.210459741307335
4584,0.24924077,0.3947486,1600.0,7.2070460366015805
746,0.18174082,0.3858881,1550.0,7.205522065136402
2089,0.03639866,0.111035876,1495.0,7.202260376430679
1441,0.1100022,0.11016245,1637.0,7.179355939252263
3326,0.034984488,0.16659191,1406.0,7.17372702983799
56,0.030741978,0.063014865,1501.0,7.1706504898031325
729,0.033806015,0.11726139,1427.0,7.166497027014744
3329,0.3127066,0.29786137,1606.0,7.155276008999743
2090,0.022846194,0.08656024,1401.0,7.154873034794884
1457,0.1013248,0.12182798,1554.0,7.149011223461752
3950,0.1373533,0.30777118,1455.0,7.148599794952378
3325,0.09741997,0.3063505,1412.0,7.148465249385351
