,link,civic_label,political_label,civic_hand_label,political_ideology_hand_label
0,https://bsky.app/profile/jbouie.bsky.social/post/3knqbtrdzrz2n,civic,left-leaning,civic,left-leaning
1,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn4umr3z2e,civic,left-leaning,civic,unclear
2,https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,civic,left-leaning,civic,left-leaning
3,https://bsky.app/profile/stuflemingnz.bsky.social/post/3knhplc7vta2r,not civic,unclear,not civic,
4,https://bsky.app/profile/sararoseg.bsky.social/post/3knlniky53223,civic,left-leaning,civic,left-leaning
5,https://bsky.app/profile/bachynski.bsky.social/post/3knvd764tfu2y,civic,left-leaning,civic,left-leaning
6,https://bsky.app/profile/rainsurname.bsky.social/post/3knhl3db6jt2y,civic,left-leaning,civic,left-leaning
7,https://bsky.app/profile/jbouie.bsky.social/post/3knovwzjb4c2j,civic,left-leaning,civic,left-leaning
8,https://bsky.app/profile/jgownder.bsky.social/post/3knji5ltct32a,not civic,unclear,not civic,
9,https://bsky.app/profile/fallonturing.bsky.social/post/3knonywlopd24,not civic,unclear,civic,left-leaning
10,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knnswnhia42r,civic,left-leaning,civic,left-leaning
11,https://bsky.app/profile/newamauta.bsky.social/post/3knf4e4w7le22,civic,left-leaning,not civic,
12,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knnwnfo6cd2m,civic,left-leaning,civic,left-leaning
13,https://bsky.app/profile/jwgoerlich.bsky.social/post/3knogawk33c2h,not civic,unclear,not civic,
14,https://bsky.app/profile/cvh.bsky.social/post/3knjs3ge2zo2u,civic,left-leaning,civic,left-leaning
15,https://bsky.app/profile/kashana.bsky.social/post/3kno37bon6326,civic,left-leaning,civic,left-leaning
16,https://bsky.app/profile/xphtherapy.bsky.social/post/3knromke5nt2u,not civic,unclear,civic,left-leaning
17,https://bsky.app/profile/iamspacegirl.bsky.social/post/3knegcr3e3u2x,not civic,unclear,not civic,
18,https://bsky.app/profile/mwosam.bsky.social/post/3knjjjvjgmx2m,not civic,unclear,not civic,
19,https://bsky.app/profile/sararoseg.bsky.social/post/3knloepgvdk2f,civic,left-leaning,civic,left-leaning
20,https://bsky.app/profile/breelundberg.com/post/3kngwl2iigl2m,civic,left-leaning,not civic,
21,https://bsky.app/profile/jbouie.bsky.social/post/3knovykscwk2i,civic,moderate,civic,unclear
22,https://bsky.app/profile/markharris.bsky.social/post/3knjbkoqy3r2x,civic,left-leaning,civic,left-leaning
23,https://bsky.app/profile/gonebabygone.bsky.social/post/3knj3lcnwsk2y,civic,left-leaning,civic,unclear
24,https://bsky.app/profile/eladn.bsky.social/post/3knrbd6hnj42v,civic,left-leaning,civic,left-leaning
25,https://bsky.app/profile/jbouie.bsky.social/post/3knqxnk2ils2i,civic,left-leaning,civic,left-leaning
26,https://bsky.app/profile/fleerultra.bsky.social/post/3knofganxyk2z,civic,left-leaning,civic,left-leaning
27,https://bsky.app/profile/juliadoubleday.bsky.social/post/3knhlxhbewv2k,civic,left-leaning,civic,left-leaning
28,https://bsky.app/profile/luckytran.bsky.social/post/3knglwgkla326,civic,moderate,civic,unclear
29,https://bsky.app/profile/normative.bsky.social/post/3knm3cftdos2r,civic,moderate,civic,unclear
30,https://bsky.app/profile/blueheronfarm.bsky.social/post/3knmci6lfht2e,not civic,unclear,not civic,
31,https://bsky.app/profile/notalawyer.bsky.social/post/3knhajqkgv22z,civic,left-leaning,civic,left-leaning
32,https://bsky.app/profile/chriswarcraft.bsky.social/post/3knrdpdp7xd2b,civic,left-leaning,civic,left-leaning
33,https://bsky.app/profile/nickkodama.bsky.social/post/3knlovhpnuk2b,not civic,unclear,not civic,
34,https://bsky.app/profile/internethippo.bsky.social/post/3knrrzek5h42v,not civic,unclear,not civic,
35,https://bsky.app/profile/knilirabaj.bsky.social/post/3knilna5ius2f,civic,left-leaning,civic,unclear
36,https://bsky.app/profile/emily.gorcen.ski/post/3kngrwzy7uv2k,civic,left-leaning,civic,
37,https://bsky.app/profile/paleofuture.bsky.social/post/3knf43s66bk2n,civic,unclear,civic,left-leaning
38,https://bsky.app/profile/sararoseg.bsky.social/post/3knlnrllvyk2k,civic,left-leaning,civic,unclear
39,https://bsky.app/profile/kenwhite.bsky.social/post/3knri26gx5k25,not civic,unclear,not civic,
40,https://bsky.app/profile/safety.bsky.app/post/3knjj6y6yoi2i,not civic,unclear,not civic,
41,https://bsky.app/profile/spavel.bsky.social/post/3knjycv45ik2a,not civic,unclear,not civic,
42,https://bsky.app/profile/lordbusinessman.bsky.social/post/3kngffmjlss2n,civic,right-leaning,not civic,
43,https://bsky.app/profile/kashana.bsky.social/post/3knlxntshtk2h,civic,left-leaning,civic,left-leaning
44,https://bsky.app/profile/ovna.dev/post/3knef6wfc4l2d,not civic,unclear,not civic,
45,https://bsky.app/profile/evangreer.bsky.social/post/3knk45rdb722i,civic,left-leaning,civic,left-leaning
46,https://bsky.app/profile/vpsreports.bsky.social/post/3knpgffqs6k2a,civic,right-leaning,civic,unclear
47,https://bsky.app/profile/edithcharles.bsky.social/post/3knppw6m6ym2b,not civic,unclear,not civic,
48,https://bsky.app/profile/kilgoretrout.bsky.social/post/3knjfwno4dy2l,not civic,unclear,civic,left-leaning
49,https://bsky.app/profile/jrbolt.bsky.social/post/3knkfjwpchs22,not civic,unclear,not civic,
50,https://bsky.app/profile/thielman.bsky.social/post/3knevenneex2b,not civic,unclear,not civic,
51,https://bsky.app/profile/theradr.bsky.social/post/3knk7aq4twk24,civic,left-leaning,civic,left-leaning
52,https://bsky.app/profile/rhi.bsky.social/post/3kninwdz6ef2d,not civic,unclear,not civic,
53,https://bsky.app/profile/chantalalive.bsky.social/post/3knr4vrmebc2h,civic,left-leaning,civic,left-leaning
54,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knlu4j5v7s2s,not civic,unclear,civic,unclear
55,https://bsky.app/profile/kenklippenstein.bsky.social/post/3knt74lknoi2y,civic,moderate,civic,unclear
56,https://bsky.app/profile/profmusgrave.bsky.social/post/3kngl45twie23,civic,left-leaning,civic,left-leaning
57,https://bsky.app/profile/brendelbored.bsky.social/post/3knobbmewi22h,not civic,unclear,not civic,
58,https://bsky.app/profile/rbreich.bsky.social/post/3kntuqzkjq22f,civic,left-leaning,civic,left-leaning
59,https://bsky.app/profile/johnrogers.bsky.social/post/3knqkvrpipc2y,civic,left-leaning,civic,left-leaning
60,https://bsky.app/profile/martian-observer.art/post/3knqeo5m6q62v,not civic,unclear,not civic,
61,https://bsky.app/profile/markwaid.bsky.social/post/3knowtron3322,civic,left-leaning,civic,unclear
62,https://bsky.app/profile/boner.ink/post/3knorjh36a525,not civic,unclear,not civic,
63,https://bsky.app/profile/kellybarnhill.bsky.social/post/3knljdq4r6m2k,civic,left-leaning,civic,left-leaning
64,https://bsky.app/profile/carlbergstrom.com/post/3knqlji4zgl2d,not civic,unclear,not civic,
65,https://bsky.app/profile/dell.bsky.social/post/3knhruxvhn32x,not civic,unclear,not civic,
66,https://bsky.app/profile/planet4589.bsky.social/post/3knkdm737is2l,civic,unclear,not civic,
67,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn7cloxu2w,not civic,unclear,civic,right-leaning
68,https://bsky.app/profile/scottsantens.com/post/3knqkh2es7k2i,civic,left-leaning,civic,left-leaning
69,https://bsky.app/profile/mommunism.bsky.social/post/3knkvugzd2k2n,not civic,unclear,not civic,
70,https://bsky.app/profile/mangmangmang.bsky.social/post/3kno26hkn222u,not civic,unclear,not civic,
71,https://bsky.app/profile/newamauta.bsky.social/post/3knrn5ary4c2t,civic,left-leaning,civic,unclear
72,https://bsky.app/profile/mtsw.bsky.social/post/3knotbzuddk2p,civic,left-leaning,civic,left-leaning
73,https://bsky.app/profile/alishagrauso.bsky.social/post/3kndutirhrd2z,not civic,unclear,not civic,
74,https://bsky.app/profile/rzhongnotes.bsky.social/post/3knfdpymu3x2b,not civic,unclear,not civic,
75,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3kntar6c6ps2o,civic,left-leaning,civic,left-leaning
76,https://bsky.app/profile/secretaboutbox.bsky.social/post/3knlqwt2l322n,civic,left-leaning,civic,left-leaning
77,https://bsky.app/profile/adamcsharp.bsky.social/post/3kndmavqtkt2s,not civic,unclear,not civic,
78,https://bsky.app/profile/catsofyore.bsky.social/post/3knrc7vc6gx2c,not civic,unclear,not civic,
79,https://bsky.app/profile/rincewind.run/post/3knly7zt6322w,civic,left-leaning,civic,left-leaning
80,https://bsky.app/profile/chadloder.bsky.social/post/3knmjanu2u22u,civic,unclear,civic,left-leaning
81,https://bsky.app/profile/mtsw.bsky.social/post/3knsa4bv3wg26,civic,left-leaning,civic,left-leaning
82,https://bsky.app/profile/catsofyore.bsky.social/post/3knk2bgm5ms2i,not civic,unclear,not civic,
83,https://bsky.app/profile/dell.bsky.social/post/3knkpereuc22a,civic,left-leaning,civic,left-leaning
84,https://bsky.app/profile/mommunism.bsky.social/post/3kneg3vwgzl2p,civic,left-leaning,civic,right-leaning
85,https://bsky.app/profile/leer.bsky.social/post/3knh3k7kgg22p,not civic,unclear,not civic,
86,https://bsky.app/profile/alexanderchee.bsky.social/post/3knincv5iv225,civic,left-leaning,not civic,
87,https://bsky.app/profile/murshedz.bsky.social/post/3kno66rxcbf2e,civic,left-leaning,civic,left-leaning
88,https://bsky.app/profile/seriousfreudoffice.bsky.social/post/3kntotf4qi42k,civic,left-leaning,civic,left-leaning
89,https://bsky.app/profile/ryanlcooper.com/post/3ko2hoexa322o,civic,left-leaning,civic,unclear
90,https://bsky.app/profile/ryanlcooper.com/post/3knrp4bjslk2m,civic,left-leaning,civic,left-leaning
91,https://bsky.app/profile/kjhealy.bsky.social/post/3knl7425rb22z,not civic,unclear,not civic,
92,https://bsky.app/profile/scottsantens.com/post/3knsupwoqyk2y,civic,left-leaning,civic,left-leaning
93,https://bsky.app/profile/maxkennerly.bsky.social/post/3kndtrgi6ql25,civic,left-leaning,civic,left-leaning
94,https://bsky.app/profile/joshuaphill.bsky.social/post/3kndwmoo3c22a,not civic,unclear,civic,unclear
95,https://bsky.app/profile/kashana.bsky.social/post/3knlke7yvz222,civic,left-leaning,civic,unclear
96,https://bsky.app/profile/chadloder.bsky.social/post/3kneut55qut2v,civic,left-leaning,civic,left-leaning
97,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knj75qu6vn2y,civic,left-leaning,civic,left-leaning
98,https://bsky.app/profile/jbouie.bsky.social/post/3kniqsm2hz622,civic,left-leaning,civic,unclear
99,https://bsky.app/profile/markharris.bsky.social/post/3knewm3dsrd2t,not civic,unclear,not civic,
100,https://bsky.app/profile/zitron.bsky.social/post/3knecwbxjds24,not civic,unclear,civic,left-leaning
101,https://bsky.app/profile/mikedrucker.bsky.social/post/3knixnbl6x62i,not civic,unclear,not civic,
102,https://bsky.app/profile/astrokatie.com/post/3knf6gss7h22h,not civic,unclear,not civic,
103,https://bsky.app/profile/quinnae.com/post/3knmlpr4qdk2u,not civic,unclear,civic,left-leaning
104,https://bsky.app/profile/iboudreau.bsky.social/post/3knmd2kwl6s27,not civic,unclear,civic,left-leaning
105,https://bsky.app/profile/erictopol.bsky.social/post/3knjvwdcmps2v,not civic,unclear,not civic,
106,https://bsky.app/profile/rbreich.bsky.social/post/3knu26jrbls2s,civic,left-leaning,civic,left-leaning
107,https://bsky.app/profile/oregonzoo.bsky.social/post/3kngw3mk7o42y,not civic,unclear,not civic,
108,https://bsky.app/profile/coachfinstock.bsky.social/post/3knjri3xoj42x,civic,left-leaning,civic,left-leaning
109,https://bsky.app/profile/bigbigtruck.bsky.social/post/3knr46thgtc2f,civic,left-leaning,not civic,
110,https://bsky.app/profile/knilirabaj.bsky.social/post/3knlh2nv2rx2q,civic,left-leaning,civic,left-leaning
111,https://bsky.app/profile/ernekid.bsky.social/post/3knrpatsqms2q,not civic,unclear,not civic,
112,https://bsky.app/profile/kekeflipnote.bsky.social/post/3knvbpok3x72z,not civic,unclear,not civic,
113,https://bsky.app/profile/jeffgerstmann.com/post/3knrw4snwu22x,not civic,unclear,not civic,
114,https://bsky.app/profile/clpolk.com/post/3knevnjczp52b,not civic,unclear,not civic,
115,https://bsky.app/profile/funranium.bsky.social/post/3knk66bfxbc2w,not civic,unclear,not civic,
116,https://bsky.app/profile/profmusgrave.bsky.social/post/3kngvpjdcup2t,not civic,unclear,not civic,
117,https://bsky.app/profile/joshuajfriedman.com/post/3knjpith6ze2p,civic,left-leaning,civic,left-leaning
118,https://bsky.app/profile/theferocity.bsky.social/post/3knghe24qtm2n,not civic,unclear,not civic,
119,https://bsky.app/profile/rbreich.bsky.social/post/3kno63o53g22f,civic,left-leaning,civic,left-leaning
120,https://bsky.app/profile/catsofyore.bsky.social/post/3knf6jn2hbl2d,not civic,unclear,not civic,
121,https://bsky.app/profile/catsofyore.bsky.social/post/3knrzlavx4n2z,not civic,unclear,not civic,
122,https://bsky.app/profile/surcomplicated.bsky.social/post/3knexl344bs2f,civic,left-leaning,civic,unclear
123,https://bsky.app/profile/econroy.bsky.social/post/3knirhf3gal26,civic,left-leaning,civic,left-leaning
124,https://bsky.app/profile/thetattooedprof.bsky.social/post/3kng25fyspk2j,not civic,unclear,not civic,
125,https://bsky.app/profile/jbouie.bsky.social/post/3knstcm42kk2h,not civic,unclear,civic,left-leaning
126,https://bsky.app/profile/edyong209.bsky.social/post/3kntq5w2o4s2l,not civic,unclear,not civic,
127,https://bsky.app/profile/astrokatie.com/post/3knguix4dyp2b,civic,moderate,not civic,
128,https://bsky.app/profile/josiah.lol/post/3knr6koe6fp26,civic,left-leaning,civic,left-leaning
129,https://bsky.app/profile/petersagal.bsky.social/post/3kntzi3j2id2q,civic,right-leaning,civic,left-leaning
130,https://bsky.app/profile/davidjroth.bsky.social/post/3knen3cqrjs2b,not civic,unclear,not civic,
131,https://bsky.app/profile/golikehellmachine.bsky.social/post/3knh3acqchc2y,not civic,unclear,civic,left-leaning
132,https://bsky.app/profile/thetigerspot.bsky.social/post/3knqcn632f22c,not civic,unclear,not civic,
133,https://bsky.app/profile/chimeracoder.bsky.social/post/3knj5kpczic2u,civic,left-leaning,civic,left-leaning
134,https://bsky.app/profile/junlper.bsky.social/post/3knjeikjx4w2f,civic,left-leaning,civic,left-leaning
135,https://bsky.app/profile/jbouie.bsky.social/post/3knrfaap7jk2r,not civic,unclear,not civic,
136,https://bsky.app/profile/lolgop.bsky.social/post/3kntnef2boc2g,civic,left-leaning,civic,left-leaning
137,https://bsky.app/profile/pkrugman.bsky.social/post/3knsutaqimd2i,civic,unclear,civic,unclear
138,https://bsky.app/profile/leavittalone.bsky.social/post/3knf4ml5wct2y,not civic,unclear,not civic,
139,https://bsky.app/profile/kenlowery.bsky.social/post/3knht3bbski2h,not civic,unclear,not civic,
140,https://bsky.app/profile/tomtomorrow.bsky.social/post/3knmfzxekis2g,civic,left-leaning,civic,left-leaning
141,https://bsky.app/profile/stevevladeck.bsky.social/post/3kntbnvmx4c2j,civic,left-leaning,civic,left-leaning
142,https://bsky.app/profile/bethanyblack.bsky.social/post/3kngblii3yk2m,civic,left-leaning,civic,left-leaning
143,https://bsky.app/profile/beckyhammer.bsky.social/post/3knroe26jo42b,not civic,unclear,not civic,
