linkid,link,sociopolitical,ideology,partisan
1,https://bsky.app/profile/lubchansky.bsky.social/post/3krtbh4abqb2h,,,
2,https://bsky.app/profile/cait.bsky.social/post/3krtjpoed7w2k,,,
3,https://bsky.app/profile/tocodot.bsky.social/post/3kru4buzk4o2x,,,
4,https://bsky.app/profile/jbouie.bsky.social/post/3krtkkwk6gz2x,,,
5,https://bsky.app/profile/jbouie.bsky.social/post/3kru2e77ail2a,,,
6,https://bsky.app/profile/iboudreau.bsky.social/post/3krt7ap6ool2u,,,
7,https://bsky.app/profile/kjhealy.bsky.social/post/3krtwzn7bmt2s,,,
8,https://bsky.app/profile/theonion.com/post/3krtqy3l4cc2d,,,
9,https://bsky.app/profile/aricohn.com/post/3krtdkn5ws22q,,,
10,https://bsky.app/profile/marthawells.bsky.social/post/3krtxvtm76t2o,,,
11,https://bsky.app/profile/jbouie.bsky.social/post/3kru2cnrxvt2k,,,
12,https://bsky.app/profile/jbouie.bsky.social/post/3kruasq6tzb2h,,,
13,https://bsky.app/profile/miriam.lol/post/3krt7crk6tk2k,,,
14,https://bsky.app/profile/dariusw.bsky.social/post/3kru72efc6g26,,,
15,https://bsky.app/profile/simzart.bsky.social/post/3krts5hmidk2l,,,
16,https://bsky.app/profile/tylerhuckabee.bsky.social/post/3kruob4m37r24,,,
17,https://bsky.app/profile/ironspike.bsky.social/post/3krtqzjuwas2w,,,
18,https://bsky.app/profile/kevinmkruse.bsky.social/post/3krtcd7wxik2k,,,
19,https://bsky.app/profile/nickjbrumfield.bsky.social/post/3krtnelqaak22,,,
20,https://bsky.app/profile/kenklippenstein.bsky.social/post/3krtdyori672o,,,
21,https://bsky.app/profile/tiqalicious.bsky.social/post/3krubvbmd7222,,,
22,https://bsky.app/profile/brendelbored.bsky.social/post/3krtbfqkm5c2w,,,
23,https://bsky.app/profile/richardkadrey.bsky.social/post/3krtonw52x42v,,,
24,https://bsky.app/profile/michaelhobbes.bsky.social/post/3krt772xuxl2b,,,
25,https://bsky.app/profile/mtsw.bsky.social/post/3krtsrpwqal2g,,,
26,https://bsky.app/profile/theonion.com/post/3krvj3s56dk26,,,
27,https://bsky.app/profile/emissaryofnight.bsky.social/post/3krubezinjs2f,,,
28,https://bsky.app/profile/juergenzimmerer.bsky.social/post/3krtyi5p7dk2x,,,
29,https://bsky.app/profile/marisakabas.bsky.social/post/3krtkxlwydd2q,,,
30,https://bsky.app/profile/tsulala.bsky.social/post/3krtf2uifyp2f,,,
31,https://bsky.app/profile/abigaillarson.bsky.social/post/3krtkylci222n,,,
32,https://bsky.app/profile/theonion.com/post/3krtnfom5ao2k,,,
33,https://bsky.app/profile/theonion.com/post/3krtwcvmksd2k,,,
34,https://bsky.app/profile/foxes-in-love.bsky.social/post/3krvckvq4ct24,,,
35,https://bsky.app/profile/jbouie.bsky.social/post/3krtoubajdl2s,,,
36,https://bsky.app/profile/abbyhiggs.bsky.social/post/3krtpaulfut2g,,,
37,https://bsky.app/profile/grudgie.bsky.social/post/3krtop2t3cm2r,,,
38,https://bsky.app/profile/pbump.com/post/3krtr3gb4e32x,,,
39,https://bsky.app/profile/aspyre.bsky.social/post/3krtyj7v4aj2f,,,
40,https://bsky.app/profile/denniskberlin.bsky.social/post/3krtemygzrs2u,,,
41,https://bsky.app/profile/tfiddlerart.bsky.social/post/3krtkpyr5sf2i,,,
42,https://bsky.app/profile/portdrift.bsky.social/post/3kruk7wgjmz2x,,,
43,https://bsky.app/profile/creeps.bsky.social/post/3krtlthylcl2u,,,
44,https://bsky.app/profile/tiny.baby/post/3krtslw72x222,,,
45,https://bsky.app/profile/lschmeiser.bsky.social/post/3krublv5xzu2g,,,
46,https://bsky.app/profile/bodegacats.bsky.social/post/3krtywtguz32g,,,
47,https://bsky.app/profile/taltgeld.bsky.social/post/3krtqmfc2ob2e,,,
48,https://bsky.app/profile/tomscocca.bsky.social/post/3krtqpa7rzh26,,,
49,https://bsky.app/profile/rincewind.run/post/3krtv2dho6u2r,,,
50,https://bsky.app/profile/otsumamiboy.bsky.social/post/3krtmz4funf22,,,
51,https://bsky.app/profile/lulaoficial.bsky.social/post/3krtu67d56v26,,,
52,https://bsky.app/profile/jcsalterego.bsky.social/post/3kru6fbth4v2i,,,
53,https://bsky.app/profile/cait.bsky.social/post/3kru5mpoklk2r,,,
54,https://bsky.app/profile/everydaylouie.bsky.social/post/3kru436qi3224,,,
55,https://bsky.app/profile/cait.bsky.social/post/3krui4aeitg24,,,
56,https://bsky.app/profile/scalzi.com/post/3krtlsuvybc2n,,,
57,https://bsky.app/profile/chrisgeidner.bsky.social/post/3kru6qiz2yl2f,,,
58,https://bsky.app/profile/lulaoficial.bsky.social/post/3krtdko2ovz2s,,,
59,https://bsky.app/profile/joergspengler.bsky.social/post/3krtjnlptx22o,,,
60,https://bsky.app/profile/catsofyore.bsky.social/post/3kruhrmxxpl2z,,,
61,https://bsky.app/profile/chlowski.bsky.social/post/3krtnr5mjkg2l,,,
62,https://bsky.app/profile/lolgop.bsky.social/post/3krvcove7r524,,,
63,https://bsky.app/profile/catsofyore.bsky.social/post/3kru4vktau32n,,,
64,https://bsky.app/profile/kevinmkruse.bsky.social/post/3krtk6nlgts27,,,
65,https://bsky.app/profile/christianeymery.bsky.social/post/3krthvprljp2g,,,
66,https://bsky.app/profile/kilgoretrout.bsky.social/post/3krtvrbvzff24,,,
67,https://bsky.app/profile/sharkcat.bsky.social/post/3krt7gtkazh2m,,,
68,https://bsky.app/profile/catbus.bsky.social/post/3krts7hipel2t,,,
69,https://bsky.app/profile/attackerman.bsky.social/post/3krtjbhkcos2a,,,
70,https://bsky.app/profile/secondlina.bsky.social/post/3krtiyv2atw2o,,,
71,https://bsky.app/profile/sailorrooscout.bsky.social/post/3krtgp6l4pc2x,,,
72,https://bsky.app/profile/dly.bsky.social/post/3krtkbcioyk25,,,
73,https://bsky.app/profile/cyrenatouros.bsky.social/post/3krtco34gh22x,,,
74,https://bsky.app/profile/tocodot.bsky.social/post/3krva4xubwg2x,,,
75,https://bsky.app/profile/mkreutzfeldt.bsky.social/post/3krturc4fcb2a,,,
76,https://bsky.app/profile/lukelukeluke.bsky.social/post/3krt6t4g7i22q,,,
77,https://bsky.app/profile/hausofdecline.bsky.social/post/3krtbnhenkz2p,,,
78,https://bsky.app/profile/sethcotlar.bsky.social/post/3krtpwsjzlc2d,,,
79,https://bsky.app/profile/xkcd.com/post/3krvm3lc7y22h,,,
80,https://bsky.app/profile/cscharun.bsky.social/post/3kruwvsxpjm26,,,
81,https://bsky.app/profile/nkalamb.bsky.social/post/3krubwiinks2l,,,
82,https://bsky.app/profile/foxfeather.bsky.social/post/3krtn2o62s22z,,,
83,https://bsky.app/profile/jbouie.bsky.social/post/3krtttlbcc32k,,,
84,https://bsky.app/profile/obscuricom.bsky.social/post/3krvcoujdet23,,,
85,https://bsky.app/profile/jbouie.bsky.social/post/3kru2ewo3tl2s,,,
86,https://bsky.app/profile/mtsw.bsky.social/post/3krtdjgz5fc2u,,,
87,https://bsky.app/profile/squeezable.bsky.social/post/3krtikf34h22b,,,
88,https://bsky.app/profile/narkosedoc.bsky.social/post/3krtqxe3x6c2t,,,
89,https://bsky.app/profile/celeryman.bsky.social/post/3krtodw5wld2q,,,
90,https://bsky.app/profile/jonbois.bsky.social/post/3krtepdpabz2x,,,
91,https://bsky.app/profile/kenwhite.bsky.social/post/3krtj67jtxl2e,,,
92,https://bsky.app/profile/lazarorosa.bsky.social/post/3krtqjgjcsk24,,,
93,https://bsky.app/profile/ixy.bsky.social/post/3krunlqwi6c2i,,,
94,https://bsky.app/profile/golikehellmachine.bsky.social/post/3krte5qx3ks23,,,
95,https://bsky.app/profile/ironspike.bsky.social/post/3krtyxaamcl2k,,,
96,https://bsky.app/profile/radleybalko.bsky.social/post/3kruhjb3dic2u,,,
97,https://bsky.app/profile/willquinnart.bsky.social/post/3kruoqj367l2e,,,
98,https://bsky.app/profile/niedermeyer.io/post/3krtbeslgsl2r,,,
99,https://bsky.app/profile/kenwhite.bsky.social/post/3krubgmbllb2m,,,
100,https://bsky.app/profile/mackenzievogt.bsky.social/post/3kru5dg2xpg2o,,,
101,https://bsky.app/profile/miriam.lol/post/3krv6rsfw5v2s,,,
102,https://bsky.app/profile/catsofyore.bsky.social/post/3kruzyt3okx2x,,,
103,https://bsky.app/profile/emptywheel.bsky.social/post/3kru6r53lk22n,,,
104,https://bsky.app/profile/kenwhite.bsky.social/post/3kru7r73xce2t,,,
