linkid,link,sociopolitical,ideology,partisan,metadata,source_feed
1,https://bsky.app/profile/jakei.bsky.social/post/3krfqc6utqc2i,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
2,https://bsky.app/profile/mrlovenstein.bsky.social/post/3kre6wrp7od24,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
3,https://bsky.app/profile/linksanwaelte.bsky.social/post/3krkyrtstbk2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
4,https://bsky.app/profile/omrimarian.bsky.social/post/3krorbkqmfa2t,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
5,https://bsky.app/profile/theonion.com/post/3krsyobei2d2n,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
6,https://bsky.app/profile/jbouie.bsky.social/post/3kref3fyt422b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
7,https://bsky.app/profile/publichealth.bsky.social/post/3krfjua2kr22d,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
8,https://bsky.app/profile/juliusgoat.bsky.social/post/3krk3kyz6gs2l,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
9,https://bsky.app/profile/claasgefroi.bsky.social/post/3kroezbjlcc27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
10,https://bsky.app/profile/jmnphillips.bsky.social/post/3krfe3363ts2z,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
11,https://bsky.app/profile/theonion.com/post/3krvj3s56dk26,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
12,https://bsky.app/profile/pfrazee.com/post/3krp46hath22j,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
13,https://bsky.app/profile/kjhealy.bsky.social/post/3krixipj6gs2k,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
14,https://bsky.app/profile/marisakabas.bsky.social/post/3krkh4vig7b2e,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
15,https://bsky.app/profile/frieren.websunday.net/post/3krgx5dmr5e2q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
16,https://bsky.app/profile/molly.wiki/post/3krjsdc6kyl2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
17,https://bsky.app/profile/publichealth.bsky.social/post/3krmwss3bgc27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
18,https://bsky.app/profile/filth-waste.bsky.social/post/3krryjoz2ch2p,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
19,https://bsky.app/profile/nitorisasami.com/post/3krnva3l7pd2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
20,https://bsky.app/profile/swolecialism.bsky.social/post/3krhd7pt2lk26,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
21,https://bsky.app/profile/bodegacats.bsky.social/post/3krojqvvals2z,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
22,https://bsky.app/profile/glassshine.bsky.social/post/3krgkotxf3c2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
23,https://bsky.app/profile/lulaoficial.bsky.social/post/3krgngyuy2g2f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
24,https://bsky.app/profile/mtsw.bsky.social/post/3krtsrpwqal2g,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
25,https://bsky.app/profile/jonbois.bsky.social/post/3krlxfl6g722b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
26,https://bsky.app/profile/scalzi.com/post/3krrhic54332u,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
27,https://bsky.app/profile/doctorvive.bsky.social/post/3krh5fhc6j223,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
28,https://bsky.app/profile/jackiantonovich.bsky.social/post/3krmf5gulxl2c,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
29,https://bsky.app/profile/jbouie.bsky.social/post/3krjeqpmhqk2b,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
30,https://bsky.app/profile/joshuajfriedman.com/post/3krfngspzns2q,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
31,https://bsky.app/profile/knilirabaj.bsky.social/post/3krjofznpk62l,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
32,https://bsky.app/profile/lalalalack.bsky.social/post/3krlarxooov2h,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
33,https://bsky.app/profile/kenwhite.bsky.social/post/3krmbbnspx32f,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
34,https://bsky.app/profile/joolia.bsky.social/post/3krogal7igs27,,,,"{'source_feed': 'week', 'synctimestamp': '2024-05-07-13:34:24'}",week
