topic_id,generated_name
-1,Outliers
0,"""Political Opinions and Perspectives"""
1,"""Russia-Ukraine Conflict"""
2,"""Pets and Wildlife"""
3,"""Literature and Reading"""
4,"""Severe Weather Alerts"""
5,"""Education and Teaching"""
6,"""Art and Illustration"""
7,"""Generative AI Art"""
8,"""Black Friday Shopping"""
9,"""Workplace Dynamics"""
10,"""China-US Relations"""
11,"""Beverages and Libations"""
12,"""Image Accessibility Practices"""
13,"""Tech Installation Guides"""
14,"""Elon Musk Commentary"""
15,"""Fashion and Apparel"""
16,"""Major League Baseball"""
17,"""Trading Card Games"""
18,"""Tech Development Tools"""
19,"""Social Media Metrics"""
20,"""Puerto Rico Recovery"""
21,"""Astrology and Horoscopes"""
22,"""Halloween Celebrations"""
23,"""Christmas Celebrations"""
24,"""Nighttime Photography"""
25,"""Age and Retirement"""
26,"""Thanksgiving and Gratitude"""
27,"""Reality TV Competitions"""
28,"""Veterans Remembrance Events"""
29,"""Social Media Dynamics"""
30,"""Cybersecurity and Hacking"""
31,"""Political Resistance Movement"""
32,"""Fitness Video Trends"""
