handle,condition,week,feed_average_prop_in_network_posts
312brvndon.bsky.social,representative_diversification,1.0,0.04
312brvndon.bsky.social,representative_diversification,2.0,0.009
312brvndon.bsky.social,representative_diversification,3.0,0.045
312brvndon.bsky.social,representative_diversification,4.0,0.035
312brvndon.bsky.social,representative_diversification,5.0,0.035
312brvndon.bsky.social,representative_diversification,6.0,0.052
312brvndon.bsky.social,representative_diversification,7.0,0.121
312brvndon.bsky.social,representative_diversification,8.0,0.172
3dthrills.bsky.social,reverse_chronological,1.0,
3dthrills.bsky.social,reverse_chronological,2.0,
3dthrills.bsky.social,reverse_chronological,3.0,
3dthrills.bsky.social,reverse_chronological,4.0,
3dthrills.bsky.social,reverse_chronological,5.0,0.123
3dthrills.bsky.social,reverse_chronological,6.0,0.121
3dthrills.bsky.social,reverse_chronological,7.0,0.172
3dthrills.bsky.social,reverse_chronological,8.0,0.145
3rdand30.bsky.social,engagement,1.0,0.0
3rdand30.bsky.social,engagement,2.0,0.0
3rdand30.bsky.social,engagement,3.0,0.0
3rdand30.bsky.social,engagement,4.0,0.145
3rdand30.bsky.social,engagement,5.0,0.407
3rdand30.bsky.social,engagement,6.0,0.371
3rdand30.bsky.social,engagement,7.0,0.418
3rdand30.bsky.social,engagement,8.0,0.478
60fee74fa3.bsky.social,engagement,1.0,
60fee74fa3.bsky.social,engagement,2.0,
60fee74fa3.bsky.social,engagement,3.0,0.0
60fee74fa3.bsky.social,engagement,4.0,0.006
60fee74fa3.bsky.social,engagement,5.0,0.0
60fee74fa3.bsky.social,engagement,6.0,0.0
60fee74fa3.bsky.social,engagement,7.0,0.0
60fee74fa3.bsky.social,engagement,8.0,0.001
616dap.bsky.social,engagement,1.0,0.019
616dap.bsky.social,engagement,2.0,0.03
616dap.bsky.social,engagement,3.0,0.092
616dap.bsky.social,engagement,4.0,0.491
616dap.bsky.social,engagement,5.0,0.5
616dap.bsky.social,engagement,6.0,0.5
616dap.bsky.social,engagement,7.0,0.5
616dap.bsky.social,engagement,8.0,0.463
6abi.bsky.social,engagement,1.0,
6abi.bsky.social,engagement,2.0,0.008
6abi.bsky.social,engagement,3.0,0.005
6abi.bsky.social,engagement,4.0,0.027
6abi.bsky.social,engagement,5.0,0.027
6abi.bsky.social,engagement,6.0,0.03
6abi.bsky.social,engagement,7.0,0.03
6abi.bsky.social,engagement,8.0,0.017
909carrick.bsky.social,reverse_chronological,1.0,0.08
909carrick.bsky.social,reverse_chronological,2.0,0.02
909carrick.bsky.social,reverse_chronological,3.0,0.091
909carrick.bsky.social,reverse_chronological,4.0,0.491
909carrick.bsky.social,reverse_chronological,5.0,0.5
909carrick.bsky.social,reverse_chronological,6.0,0.5
909carrick.bsky.social,reverse_chronological,7.0,0.5
909carrick.bsky.social,reverse_chronological,8.0,0.473
9158.bsky.social,reverse_chronological,1.0,0.0
9158.bsky.social,reverse_chronological,2.0,0.0
9158.bsky.social,reverse_chronological,3.0,0.0
9158.bsky.social,reverse_chronological,4.0,0.239
9158.bsky.social,reverse_chronological,5.0,0.498
9158.bsky.social,reverse_chronological,6.0,0.5
9158.bsky.social,reverse_chronological,7.0,0.5
9158.bsky.social,reverse_chronological,8.0,0.5
aaronsm.bsky.social,engagement,1.0,0.157
aaronsm.bsky.social,engagement,2.0,0.098
aaronsm.bsky.social,engagement,3.0,0.492
aaronsm.bsky.social,engagement,4.0,0.5
aaronsm.bsky.social,engagement,5.0,0.5
aaronsm.bsky.social,engagement,6.0,0.5
aaronsm.bsky.social,engagement,7.0,0.417
aaronsm.bsky.social,engagement,8.0,0.465
abby.bsky.social,representative_diversification,1.0,0.018
abby.bsky.social,representative_diversification,2.0,0.0
abby.bsky.social,representative_diversification,3.0,0.104
abby.bsky.social,representative_diversification,4.0,0.492
abby.bsky.social,representative_diversification,5.0,0.5
abby.bsky.social,representative_diversification,6.0,0.5
abby.bsky.social,representative_diversification,7.0,0.5
abby.bsky.social,representative_diversification,8.0,0.47
abelinkedin.bsky.social,reverse_chronological,1.0,0.073
abelinkedin.bsky.social,reverse_chronological,2.0,0.102
abelinkedin.bsky.social,reverse_chronological,3.0,0.491
abelinkedin.bsky.social,reverse_chronological,4.0,0.5
abelinkedin.bsky.social,reverse_chronological,5.0,0.5
abelinkedin.bsky.social,reverse_chronological,6.0,0.5
abelinkedin.bsky.social,reverse_chronological,7.0,0.474
abelinkedin.bsky.social,reverse_chronological,8.0,0.488
abellbess.bsky.social,representative_diversification,1.0,0.0
abellbess.bsky.social,representative_diversification,2.0,0.037
abellbess.bsky.social,representative_diversification,3.0,0.175
abellbess.bsky.social,representative_diversification,4.0,0.189
abellbess.bsky.social,representative_diversification,5.0,0.169
abellbess.bsky.social,representative_diversification,6.0,0.19
abellbess.bsky.social,representative_diversification,7.0,0.192
abellbess.bsky.social,representative_diversification,8.0,0.196
abetims19.bsky.social,representative_diversification,1.0,0.0
abetims19.bsky.social,representative_diversification,2.0,0.01
abetims19.bsky.social,representative_diversification,3.0,0.002
abetims19.bsky.social,representative_diversification,4.0,0.03
abetims19.bsky.social,representative_diversification,5.0,0.038
abetims19.bsky.social,representative_diversification,6.0,0.025
abetims19.bsky.social,representative_diversification,7.0,0.001
abetims19.bsky.social,representative_diversification,8.0,0.013
abid123.bsky.social,reverse_chronological,1.0,0.011
abid123.bsky.social,reverse_chronological,2.0,0.053
abid123.bsky.social,reverse_chronological,3.0,0.234
abid123.bsky.social,reverse_chronological,4.0,0.237
abid123.bsky.social,reverse_chronological,5.0,0.245
abid123.bsky.social,reverse_chronological,6.0,0.24
abid123.bsky.social,reverse_chronological,7.0,0.142
abid123.bsky.social,reverse_chronological,8.0,0.193
abigail5.bsky.social,representative_diversification,1.0,0.0
abigail5.bsky.social,representative_diversification,2.0,0.0
abigail5.bsky.social,representative_diversification,3.0,0.009
abigail5.bsky.social,representative_diversification,4.0,0.065
abigail5.bsky.social,representative_diversification,5.0,0.086
abigail5.bsky.social,representative_diversification,6.0,0.063
abigail5.bsky.social,representative_diversification,7.0,0.144
abigail5.bsky.social,representative_diversification,8.0,0.04
abigal21.bsky.social,reverse_chronological,1.0,0.0
abigal21.bsky.social,reverse_chronological,2.0,0.042
abigal21.bsky.social,reverse_chronological,3.0,0.239
abigal21.bsky.social,reverse_chronological,4.0,0.23
abigal21.bsky.social,reverse_chronological,5.0,0.206
abigal21.bsky.social,reverse_chronological,6.0,0.252
abigal21.bsky.social,reverse_chronological,7.0,0.226
abigal21.bsky.social,reverse_chronological,8.0,0.264
abodmast.bsky.social,representative_diversification,1.0,0.0
abodmast.bsky.social,representative_diversification,2.0,0.0
abodmast.bsky.social,representative_diversification,3.0,0.006
abodmast.bsky.social,representative_diversification,4.0,0.0
abodmast.bsky.social,representative_diversification,5.0,0.0
abodmast.bsky.social,representative_diversification,6.0,0.001
abodmast.bsky.social,representative_diversification,7.0,0.003
abodmast.bsky.social,representative_diversification,8.0,0.013
abrespect.bsky.social,engagement,1.0,0.208
abrespect.bsky.social,engagement,2.0,0.16
abrespect.bsky.social,engagement,3.0,0.122
abrespect.bsky.social,engagement,4.0,0.492
abrespect.bsky.social,engagement,5.0,0.5
abrespect.bsky.social,engagement,6.0,0.5
abrespect.bsky.social,engagement,7.0,0.5
abrespect.bsky.social,engagement,8.0,0.488
abshanks34.bsky.social,engagement,1.0,
abshanks34.bsky.social,engagement,2.0,
abshanks34.bsky.social,engagement,3.0,0.0
abshanks34.bsky.social,engagement,4.0,0.0
abshanks34.bsky.social,engagement,5.0,0.0
abshanks34.bsky.social,engagement,6.0,0.0
abshanks34.bsky.social,engagement,7.0,0.0
abshanks34.bsky.social,engagement,8.0,0.0
academyrewind.bsky.social,engagement,1.0,0.004
academyrewind.bsky.social,engagement,2.0,0.0
academyrewind.bsky.social,engagement,3.0,0.047
academyrewind.bsky.social,engagement,4.0,0.077
academyrewind.bsky.social,engagement,5.0,0.12
academyrewind.bsky.social,engagement,6.0,0.338
academyrewind.bsky.social,engagement,7.0,0.348
academyrewind.bsky.social,engagement,8.0,0.454
acensio.bsky.social,representative_diversification,1.0,0.0
acensio.bsky.social,representative_diversification,2.0,0.0
acensio.bsky.social,representative_diversification,3.0,0.008
acensio.bsky.social,representative_diversification,4.0,0.043
acensio.bsky.social,representative_diversification,5.0,0.04
acensio.bsky.social,representative_diversification,6.0,0.112
acensio.bsky.social,representative_diversification,7.0,0.257
acensio.bsky.social,representative_diversification,8.0,0.19
acetvshow.bsky.social,representative_diversification,1.0,0.0
acetvshow.bsky.social,representative_diversification,2.0,0.0
acetvshow.bsky.social,representative_diversification,3.0,0.0
acetvshow.bsky.social,representative_diversification,4.0,0.006
acetvshow.bsky.social,representative_diversification,5.0,0.0
acetvshow.bsky.social,representative_diversification,6.0,0.001
acetvshow.bsky.social,representative_diversification,7.0,0.003
acetvshow.bsky.social,representative_diversification,8.0,0.013
acidbazaar.bsky.social,reverse_chronological,1.0,0.166
acidbazaar.bsky.social,reverse_chronological,2.0,0.023
acidbazaar.bsky.social,reverse_chronological,3.0,0.349
acidbazaar.bsky.social,reverse_chronological,4.0,0.268
acidbazaar.bsky.social,reverse_chronological,5.0,0.307
acidbazaar.bsky.social,reverse_chronological,6.0,0.39
acidbazaar.bsky.social,reverse_chronological,7.0,0.369
acidbazaar.bsky.social,reverse_chronological,8.0,0.445
acts238.bsky.social,engagement,1.0,0.0
acts238.bsky.social,engagement,2.0,0.002
acts238.bsky.social,engagement,3.0,0.011
acts238.bsky.social,engagement,4.0,0.004
acts238.bsky.social,engagement,5.0,0.013
acts238.bsky.social,engagement,6.0,0.048
acts238.bsky.social,engagement,7.0,0.048
acts238.bsky.social,engagement,8.0,0.122
actuallykaro.bsky.social,reverse_chronological,1.0,0.019
actuallykaro.bsky.social,reverse_chronological,2.0,0.009
actuallykaro.bsky.social,reverse_chronological,3.0,0.087
actuallykaro.bsky.social,reverse_chronological,4.0,0.099
actuallykaro.bsky.social,reverse_chronological,5.0,0.047
actuallykaro.bsky.social,reverse_chronological,6.0,0.101
actuallykaro.bsky.social,reverse_chronological,7.0,0.112
actuallykaro.bsky.social,reverse_chronological,8.0,0.137
adakuopp.bsky.social,representative_diversification,1.0,0.0
adakuopp.bsky.social,representative_diversification,2.0,0.0
adakuopp.bsky.social,representative_diversification,3.0,0.013
adakuopp.bsky.social,representative_diversification,4.0,0.039
adakuopp.bsky.social,representative_diversification,5.0,0.015
adakuopp.bsky.social,representative_diversification,6.0,0.028
adakuopp.bsky.social,representative_diversification,7.0,0.029
adakuopp.bsky.social,representative_diversification,8.0,0.071
adams15.bsky.social,reverse_chronological,1.0,0.047
adams15.bsky.social,reverse_chronological,2.0,0.011
adams15.bsky.social,reverse_chronological,3.0,0.082
adams15.bsky.social,reverse_chronological,4.0,0.483
adams15.bsky.social,reverse_chronological,5.0,0.477
adams15.bsky.social,reverse_chronological,6.0,0.487
adams15.bsky.social,reverse_chronological,7.0,0.5
adams15.bsky.social,reverse_chronological,8.0,0.407
adamsby.bsky.social,reverse_chronological,1.0,0.021
adamsby.bsky.social,reverse_chronological,2.0,0.021
adamsby.bsky.social,reverse_chronological,3.0,0.03
adamsby.bsky.social,reverse_chronological,4.0,0.043
adamsby.bsky.social,reverse_chronological,5.0,0.042
adamsby.bsky.social,reverse_chronological,6.0,0.037
adamsby.bsky.social,reverse_chronological,7.0,0.073
adamsby.bsky.social,reverse_chronological,8.0,0.0
adamsoz.bsky.social,representative_diversification,1.0,0.018
adamsoz.bsky.social,representative_diversification,2.0,0.016
adamsoz.bsky.social,representative_diversification,3.0,0.092
adamsoz.bsky.social,representative_diversification,4.0,0.5
adamsoz.bsky.social,representative_diversification,5.0,0.496
adamsoz.bsky.social,representative_diversification,6.0,0.5
adamsoz.bsky.social,representative_diversification,7.0,0.5
adamsoz.bsky.social,representative_diversification,8.0,0.45
adamstk.bsky.social,reverse_chronological,1.0,0.0
adamstk.bsky.social,reverse_chronological,2.0,0.033
adamstk.bsky.social,reverse_chronological,3.0,0.069
adamstk.bsky.social,reverse_chronological,4.0,0.085
adamstk.bsky.social,reverse_chronological,5.0,0.075
adamstk.bsky.social,reverse_chronological,6.0,0.124
adamstk.bsky.social,reverse_chronological,7.0,0.126
adamstk.bsky.social,reverse_chronological,8.0,0.177
addiestardust.bsky.social,representative_diversification,1.0,
addiestardust.bsky.social,representative_diversification,2.0,
addiestardust.bsky.social,representative_diversification,3.0,0.024
addiestardust.bsky.social,representative_diversification,4.0,0.233
addiestardust.bsky.social,representative_diversification,5.0,0.5
addiestardust.bsky.social,representative_diversification,6.0,0.5
addiestardust.bsky.social,representative_diversification,7.0,0.5
addiestardust.bsky.social,representative_diversification,8.0,0.474
addyros.bsky.social,representative_diversification,1.0,0.0
addyros.bsky.social,representative_diversification,2.0,0.0
addyros.bsky.social,representative_diversification,3.0,0.0
addyros.bsky.social,representative_diversification,4.0,0.006
addyros.bsky.social,representative_diversification,5.0,0.01
addyros.bsky.social,representative_diversification,6.0,0.042
addyros.bsky.social,representative_diversification,7.0,0.035
addyros.bsky.social,representative_diversification,8.0,0.015
adeniji259.bsky.social,representative_diversification,1.0,0.0
adeniji259.bsky.social,representative_diversification,2.0,0.0
adeniji259.bsky.social,representative_diversification,3.0,0.006
adeniji259.bsky.social,representative_diversification,4.0,0.0
adeniji259.bsky.social,representative_diversification,5.0,0.0
adeniji259.bsky.social,representative_diversification,6.0,0.001
adeniji259.bsky.social,representative_diversification,7.0,0.003
adeniji259.bsky.social,representative_diversification,8.0,0.013
adesanyaa.bsky.social,engagement,1.0,0.025
adesanyaa.bsky.social,engagement,2.0,0.02
adesanyaa.bsky.social,engagement,3.0,0.017
adesanyaa.bsky.social,engagement,4.0,0.09
adesanyaa.bsky.social,engagement,5.0,0.073
