handle,condition,week,feed_average_toxic,feed_average_constructive,feed_average_severe_toxic,feed_average_identity_attack,feed_average_insult,feed_average_profanity,feed_average_threat,feed_average_affinity,feed_average_compassion,feed_average_curiosity,feed_average_nuance,feed_average_personal_story,feed_average_reasoning,feed_average_respect,feed_average_alienation,feed_average_fearmongering,feed_average_generalization,feed_average_moral_outrage,feed_average_scapegoating,feed_average_sexually_explicit,feed_average_flirtation,feed_average_spam,feed_average_intergroup,feed_average_moral,feed_average_emotion,feed_average_other,feed_average_valence_clf_score,feed_average_is_valence_positive,feed_average_is_valence_negative,feed_average_is_valence_neutral,feed_average_is_sociopolitical,feed_average_is_not_sociopolitical,feed_average_is_political_left,feed_average_is_political_right,feed_average_is_political_moderate,feed_average_is_political_unclear,feed_proportion_toxic,feed_proportion_constructive,feed_proportion_severe_toxic,feed_proportion_identity_attack,feed_proportion_insult,feed_proportion_profanity,feed_proportion_threat,feed_proportion_affinity,feed_proportion_compassion,feed_proportion_curiosity,feed_proportion_nuance,feed_proportion_personal_story,feed_proportion_reasoning,feed_proportion_respect,feed_proportion_alienation,feed_proportion_fearmongering,feed_proportion_generalization,feed_proportion_moral_outrage,feed_proportion_scapegoating,feed_proportion_sexually_explicit,feed_proportion_flirtation,feed_proportion_spam,feed_proportion_intergroup,feed_proportion_moral,feed_proportion_emotion,feed_proportion_other,feed_proportion_valence_clf_score,feed_proportion_is_valence_positive,feed_proportion_is_valence_negative,feed_proportion_is_valence_neutral,feed_proportion_is_sociopolitical,feed_proportion_is_not_sociopolitical,feed_proportion_is_political_left,feed_proportion_is_political_right,feed_proportion_is_political_moderate,feed_proportion_is_political_unclear
312brvndon.bsky.social,representative_diversification,1.0,0.118,0.228,0.012,0.06,0.075,0.072,0.009,0.547,0.386,0.274,0.184,0.504,0.228,0.593,0.351,0.379,0.418,0.326,0.428,0.034,0.342,0.296,0.18,0.138,0.271,0.297,,,,,0.385,0.615,1.0,0.0,0.0,0.0,0.077,0.077,0.0,0.0,0.077,0.077,0.0,0.692,0.231,0.077,0.077,0.538,0.077,0.615,0.231,0.462,0.385,0.231,0.385,0.0,0.077,0.231,0.0,0.0,0.0,0.077,,,,,0.385,0.615,1.0,0.0,0.0,0.0
312brvndon.bsky.social,representative_diversification,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312brvndon.bsky.social,representative_diversification,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312brvndon.bsky.social,representative_diversification,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312brvndon.bsky.social,representative_diversification,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312brvndon.bsky.social,representative_diversification,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312brvndon.bsky.social,representative_diversification,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312brvndon.bsky.social,representative_diversification,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dthrills.bsky.social,reverse_chronological,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rdand30.bsky.social,engagement,1.0,0.174,0.185,0.027,0.05,0.11,0.114,0.021,0.502,0.353,0.296,0.171,0.466,0.185,0.547,0.404,0.574,0.419,0.382,0.503,0.048,0.333,0.205,0.18,0.153,0.262,0.312,0.105,0.408,0.272,0.32,0.351,0.65,0.605,0.051,0.0,0.344,0.112,0.091,0.0,0.022,0.057,0.092,0.007,0.503,0.261,0.166,0.04,0.437,0.091,0.672,0.29,0.629,0.36,0.268,0.502,0.002,0.078,0.154,0.011,0.004,0.015,0.116,,0.408,0.272,0.32,0.351,0.65,0.605,0.051,0.0,0.344
