,date,total_firehose_posts,total_most_liked_posts,total_posts_used_in_feeds,prop_most_liked_posts,prop_firehose_posts
0,2024-09-28,2959,86,3045,0.03,0.97
1,2024-09-29,774,10,784,0.01,0.99
2,2024-09-30,2296,58,2354,0.02,0.98
3,2024-10-01,1454,33,1487,0.02,0.98
4,2024-10-02,968,56,1024,0.05,0.95
5,2024-10-03,1835,70,1905,0.04,0.96
6,2024-10-04,760,62,822,0.08,0.92
7,2024-10-05,204,98,302,0.32,0.6799999999999999
8,2024-10-06,33,29,62,0.47,0.53
9,2024-10-07,52,34,86,0.4,0.6
10,2024-10-08,0,0,0,0.0,0.0
11,2024-10-09,54,0,54,0.0,1.0
12,2024-10-10,1832,112,1944,0.06,0.94
13,2024-10-11,5358,161,5519,0.03,0.97
14,2024-10-12,2405,178,2583,0.07,0.9299999999999999
15,2024-10-13,3510,211,3721,0.06,0.94
16,2024-10-14,3592,176,3768,0.05,0.95
17,2024-10-15,2612,249,2861,0.09,0.91
18,2024-10-16,1921,127,2048,0.06,0.94
19,2024-10-17,2959,345,3304,0.1,0.9
20,2024-10-18,4724,254,4978,0.05,0.95
21,2024-10-19,32410,213,32623,0.01,0.99
22,2024-10-20,56817,28,56845,0.0,1.0
23,2024-10-21,53690,483,54173,0.01,0.99
24,2024-10-22,57593,377,57970,0.01,0.99
25,2024-10-23,64516,474,64990,0.01,0.99
26,2024-10-24,52024,748,52772,0.01,0.99
27,2024-10-25,49211,813,50024,0.02,0.98
28,2024-10-26,50711,427,51138,0.01,0.99
29,2024-10-27,47572,384,47956,0.01,0.99
30,2024-10-28,37853,390,38243,0.01,0.99
31,2024-10-29,59889,438,60327,0.01,0.99
32,2024-10-30,48544,350,48894,0.01,0.99
33,2024-10-31,53950,363,54313,0.01,0.99
34,2024-11-01,49954,349,50303,0.01,0.99
35,2024-11-02,40489,346,40835,0.01,0.99
36,2024-11-03,48970,395,49365,0.01,0.99
37,2024-11-04,47763,399,48162,0.01,0.99
38,2024-11-05,45184,398,45582,0.01,0.99
39,2024-11-06,60698,395,61093,0.01,0.99
40,2024-11-07,41754,378,42132,0.01,0.99
41,2024-11-08,60586,294,60880,0.0,1.0
42,2024-11-09,51264,464,51728,0.01,0.99
43,2024-11-10,52711,340,53051,0.01,0.99
44,2024-11-11,60519,397,60916,0.01,0.99
45,2024-11-12,59441,415,59856,0.01,0.99
46,2024-11-13,65823,408,66231,0.01,0.99
47,2024-11-14,49182,402,49584,0.01,0.99
48,2024-11-15,59450,348,59798,0.01,0.99
49,2024-11-16,69842,363,70205,0.01,0.99
50,2024-11-17,43650,0,43650,0.0,1.0
51,2024-11-18,16672,166,16838,0.01,0.99
52,2024-11-19,60830,301,61131,0.0,1.0
53,2024-11-20,21513,179,21692,0.01,0.99
54,2024-11-21,50711,198,50909,0.0,1.0
55,2024-11-22,66704,284,66988,0.0,1.0
56,2024-11-23,31836,233,32069,0.01,0.99
57,2024-11-24,21049,177,21226,0.01,0.99
58,2024-11-25,20308,205,20513,0.01,0.99
59,2024-11-26,57991,287,58278,0.0,1.0
60,2024-11-27,63043,601,63644,0.01,0.99
61,2024-11-28,61981,419,62400,0.01,0.99
62,2024-11-29,65908,365,66273,0.01,0.99
63,2024-11-30,64917,279,65196,0.0,1.0
64,2024-12-01,68417,267,68684,0.0,1.0
