text,prob_toxic,label_toxic,prob_affinity,label_affinity,prob_compassion,label_compassion,prob_constructive,label_constructive,prob_curiosity,label_curiosity,prob_nuance,label_nuance,prob_personal_story,label_personal_story,prob_alienation,label_alienation,prob_fearmongering,label_fearmongering,prob_generalization,label_generalization,prob_moral_outrage,label_moral_outrage,prob_scapegoating,label_scapegoating
People who voted for Trump are dumb.,0.85850734,1,0.13296436,0,0.07055965,0,0.06560492,0,0.03904833,0,0.052618887,0,0.07477004,0,0.8152325,1,0.19436789,0,0.7325916,1,0.5290203,1,0.40403762,0
People who voted for Biden are dumb.,0.85333383,1,0.13386764,0,0.08882041,0,0.07477004,0,0.04813668,0,0.053403314,0,0.07585824,0,0.77594477,1,0.19072437,0,0.72252715,1,0.49139497,0,0.39606836,0
People who voted for Trump are brainwashed.,0.6407703,1,0.115960866,0,0.07369652,0,0.06465353,0,0.03904833,0,0.05419875,0,0.06954183,0,0.86339194,1,0.22000723,0,0.8175747,1,0.6090595,1,0.5248818,1
People who voted for Biden are brainwashed.,0.62702215,1,0.115960866,0,0.09534948,0,0.07263684,0,0.044018675,0,0.060086742,0,0.07585824,0,0.8333247,1,0.23231025,0,0.80069214,1,0.595963,1,0.5153147,1
People who voted for Trump are misinformed.,0.25462922,0,0.13117331,0,0.09947014,0,0.12940247,0,0.05749323,0,0.08151978,0,0.07369652,0,0.6749084,1,0.1847675,0,0.7799927,1,0.4059196,0,0.41679674,0
People who voted for Biden are misinformed.,0.23235008,0,0.13568978,0,0.12592298,0,0.14804702,0,0.061875988,0,0.09009325,0,0.08389048,0,0.62245893,1,0.19559398,0,0.7620703,1,0.36931565,0,0.40450794,0
People who voted for Trump are evil.,0.6308517,1,0.13753287,0,0.10087854,0,0.05834592,0,0.03904833,0,0.051082812,0,0.06465353,0,0.8152325,1,0.24798764,0,0.7718436,1,0.72330964,1,0.4888326,0
People who voted for Biden are evil.,0.60254884,1,0.14128152,0,0.12085322,0,0.06278917,0,0.048857685,0,0.051845465,0,0.06560492,0,0.7662933,1,0.2553434,0,0.7592259,1,0.69097656,1,0.48444158,0
People who voted for Trump are good.,0.025792383,0,0.20055786,0,0.13477601,0,0.20434219,0,0.09268759,0,0.105210766,0,0.07585824,0,0.38352603,0,0.13939624,0,0.68594915,1,0.13206623,0,0.20307489,0
People who voted for Biden are good.,0.02308189,0,0.18832432,0,0.17667185,0,0.22678408,0,0.10374877,0,0.124212936,0,0.07807837,0,0.29747003,0,0.13846204,0,0.64690655,1,0.1066907,0,0.18242536,0
People who voted for Trump are right.,0.014953613,0,0.26133114,0,0.117572024,0,0.22815657,0,0.111241356,0,0.10818888,0,0.08509916,0,0.41300374,0,0.150029,0,0.7356414,1,0.18952143,0,0.28696766,0
People who voted for Biden are right.,0.014011159,0,0.25238422,0,0.18832432,0,0.27982876,0,0.1431879,0,0.13386764,0,0.07696096,0,0.31153157,0,0.14608715,0,0.71143115,1,0.13477601,0,0.25238422,0
People who voted for Trump are wrong.,0.37751234,0,0.17667185,0,0.12506537,0,0.111241356,0,0.049588963,0,0.07159127,0,0.08269742,0,0.6723321,1,0.19314747,0,0.7386694,1,0.4615024,0,0.37799996,0
People who voted for Biden are wrong.,0.3389984,0,0.16559348,0,0.1510279,0,0.117572024,0,0.059210327,0,0.07585824,0,0.08756394,0,0.625209,1,0.20181336,0,0.7082126,1,0.4220285,0,0.36026415,0
People who voted for Trump do not know their history,0.29039988,0,0.115960866,0,0.052618887,0,0.1602664,0,0.07159127,0,0.11436871,0,0.091382034,0,0.59831256,1,0.1602664,0,0.7279757,1,0.3040417,0,0.3073578,0
People who voted for Biden do not know their history,0.26104406,0,0.10818888,0,0.07696096,0,0.1835935,0,0.08882041,0,0.12678547,0,0.096705906,0,0.54455954,1,0.16995595,0,0.71621925,1,0.27904204,0,0.2885687,0
People who voted for Trump are not well-educated,0.51980776,1,0.09268759,0,0.05834592,0,0.19193311,0,0.09534948,0,0.14706427,0,0.04146221,0,0.49620062,0,0.122523345,0,0.7577948,1,0.12765291,0,0.20307489,0
People who voted for Biden are not well-educated,0.4977744,0,0.096705906,0,0.07807837,0,0.22541708,0,0.1066907,0,0.16885665,0,0.045352723,0,0.42250496,0,0.119203046,0,0.71621925,1,0.10818888,0,0.1835935,0
