did,handle,avatar,banner,description,display_name,followers_count,follows_count,indexed_at,labels,posts_count,viewer,py_type,is_frequent_poster
did:plc:mlmouohgzbjofidukcp4pxf2,gbbranstetter.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:mlmouohgzbjofidukcp4pxf2/bafkreicdpwjn4jyxlcbkxmm7baha6vfohzujcjfre6vvx35vruhud64a7e@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:mlmouohgzbjofidukcp4pxf2/bafkreidnd5k7yltrbprbygfgpzoxngihqp4aziouuwsvsecindofzipjhe@jpeg,comms strategy @aclu // autonomy.substack.com // opinions my own ,Gillian Branstetter,14545,502,2024-03-20T14:58:09.443Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:mlmouohgzbjofidukcp4pxf2', uri='at://did:plc:mlmouohgzbjofidukcp4pxf2/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreigay5agy6hjvqnbi2xcn4bwinxaw4g5g3vjcxjsom5me7njrigv2a', neg=None, py_type='com.atproto.label.defs#label')]",4429,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:tzy4hibtkautrntsz5f3ns37,juliusgoat.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:tzy4hibtkautrntsz5f3ns37/bafkreids5cipydftbhbhh6yovblpgql7vjng4masbxfs2bzp3r7bxqrmpa@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:tzy4hibtkautrntsz5f3ns37/bafkreifk35w4aqbzm5rsdoau6ai23tom6abyk2226zdxbrglre3vzt7tgu@jpeg,"Here comes sunshine.

Author of THE REVISIONARIES (2019) and VERY FINE PEOPLE (2024). Mango-enjoyer. One of the most jeune guys in all the Russias. Only somewhat clumsy. He/him.
Weekly essays on my newsletter, The Reframe: the-reframe.com",A.R. Moxon,11447,188,2024-02-20T00:41:50.441Z,[],1753,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:nvfposmpmhegtyvhbs75s3pw,jbouie.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:nvfposmpmhegtyvhbs75s3pw/bafkreifxotq4scn37nltgrrnvhilwkh4syrrxkaa4ff5sfabxf45k5c3be@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:nvfposmpmhegtyvhbs75s3pw/bafkreid27sywqgc7ewlr2nwtttrvc2p5xdteuzr2nvga3s7bnzg4qqckiq@jpeg,"My name is Jamelle Bouie. Columnist for the New York Times Opinion section. Co-host of the Unclear and Present Danger podcast. National program director of the CHUM Group.

Email: jamelle.bouie@nytimes.com",b-boy bouiebaisse,144808,304,2024-01-25T23:48:55.498Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:nvfposmpmhegtyvhbs75s3pw', uri='at://did:plc:nvfposmpmhegtyvhbs75s3pw/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreig3as37ox3ofihlbxswsfdjwyotcpveuw353v5rnj77ebxtf7sdvm', neg=None, py_type='com.atproto.label.defs#label')]",4671,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:eqtfqntwixcnk2fn6im5ntwr,jameeljaffer.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:eqtfqntwixcnk2fn6im5ntwr/bafkreieuenxtdeqlckerveopp6q3tgcclv3j7wzdw27j5gjnoze5s5n3li@jpeg,,"Director, Knight First Amendment Institute at Columbia University; Exec Editor, Just Security; former ACLU. knightcolumbia.org. 
",Jameel Jaffer,1836,452,2024-01-25T23:54:03.571Z,[],193,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:qbvmzulle4ytussf2qpzoqqd,ohnoshetwitnt.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:qbvmzulle4ytussf2qpzoqqd/bafkreiexnb6zhyy7r5rulqd437qb3qxavfd2fzg6vdximr2kr644dsbk4q@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:qbvmzulle4ytussf2qpzoqqd/bafkreiby5zxgx57vwbxb2xs5r5f3e3tuycoenoj6qjh74u6keambsggtbu@jpeg,"~* Jewish American Disney Princess *~

I’m from N-E-W Jerz 
",The Volatile Mermaid ,16478,296,2024-02-22T13:27:19.331Z,[],610,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:sefgphqp2xqwh2hawaixykwz,esqueer.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:sefgphqp2xqwh2hawaixykwz/bafkreihz5hoj7fgxo4ofzstgbvyusmv2vis3h6cslsrwwk7kb6ldlqur2a@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:sefgphqp2xqwh2hawaixykwz/bafkreihveg5x7fekvnsva6yo3tk5qzyoozpi3iw5by77eq2ll6mtmc6jsu@jpeg,"Wise Latina 🇵🇷. Clinical Instructor, Harvard Law Cyberlaw Clinic. Gender & Tech. Bylines: Wired, Slate. Views = my own. She/Her.",Alejandra Caraballo ,14010,177,2024-01-26T00:14:06.889Z,[],358,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:oofa3qqoiszsmajbigfqskqv,chriswarcraft.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:oofa3qqoiszsmajbigfqskqv/bafkreiesdct2icrs32jb57ftgfydzhoxwldwckh6onprvz5qdsatznlkte@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:oofa3qqoiszsmajbigfqskqv/bafkreid7oc434awzvwtpntehgfgf2cwiqc4hoqbhjjeyujfqlyduxoxite@jpeg,Troublemaker extraordinaire,Chris Kluwe,5799,48,2024-01-26T00:13:18.132Z,[],1671,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:e5tipx5psciegfokh7ccnthc,xphtherapy.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:e5tipx5psciegfokh7ccnthc/bafkreia226d5dn3o25b3z3ywnsk3lf6pf4xyao4x4ewb3bv3ft4ratiuhy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:e5tipx5psciegfokh7ccnthc/bafkreiefl7texp45dcabsjasv7ctep6aix5epvmboja6w4axbkifkwsqyq@jpeg,"Integrative UK therapist. LGBTQ+ (fully trans-inclusive), neurodivergency, bereavement, trauma, young people and adults. BACP member.",xph therapy,50,21,2024-01-26T02:48:28.525Z,[],58,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:weypikbrwodr2fsanloqjx6s,scottsantens.com,https://cdn.bsky.app/img/avatar/plain/did:plc:weypikbrwodr2fsanloqjx6s/bafkreiayndmkkkiutdjm7v7w7jpq3cd5kqflrk4a773hosagrqybusil3i@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:weypikbrwodr2fsanloqjx6s/bafkreiamd3kc7g62cizzzvzdbjp7wingsqouedtjzf46n4ida6la73yg74@jpeg,"Unconditional/Universal #BasicIncome (#UBI) advocate with a crowdfunded basic income floor (http://patreon.com/scottsantens)

Founder & President, ITSAfoundation.org

Author of Let There Be Money: https://amzn.to/30sCdCc

Read my UBI FAQ: scottsantens.com",Scott Santens,2874,8901,2024-01-26T00:08:39.416Z,[],619,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
did:plc:s6yp6jam5og3tftozaw7pjth,johnrogers.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:s6yp6jam5og3tftozaw7pjth/bafkreicox4j5hvv2w6wevrmfhxotmxgm3lpragjhnuxr4kkjjfxm5knkgu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:s6yp6jam5og3tftozaw7pjth/bafkreidc54vwqo7c3eft2r63gonrwxiak2gwtakrbmrdhpapi2wwuxyosi@jpeg,"TV, comics and film writer. LEVERAGE, JACKIE CHAN ADVENTURES, BLUE BEETLE, MARRY ME, a couple other things. Free newsletter of reviews, recommendations, and general oddities at https://buttondown.email/kungfumonkey",John Rogers,6398,415,2024-01-26T00:06:22.569Z,"[Label(cts='1970-01-01T00:00:00.000Z', src='did:plc:s6yp6jam5og3tftozaw7pjth', uri='at://did:plc:s6yp6jam5og3tftozaw7pjth/app.bsky.actor.profile/self', val='!no-unauthenticated', cid='bafyreifqfoqy62xoyw3gcsruakr5654uepilutnevzlnrjsczan27fpwwi', neg=None, py_type='com.atproto.label.defs#label')]",1345,blocked_by=False blocking=None blocking_by_list=None followed_by=None following=None muted=False muted_by_list=None py_type='app.bsky.actor.defs#viewerState',app.bsky.actor.defs#profileViewDetailed,False
