Link,Text,Retweets,Likes,Comments,Civic,Feed,Timestamp
https://bsky.app/profile/viktorwinetrout.bsky.social/post/3ko6zejnpis2r,"What your post failed to consider is me, a complete stranger with bad opinions",9,22,0,FALSE,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/21/2024
https://bsky.app/profile/danielhuckmann.com/post/3ko6xzqc7vm25,"Twilight embraces,
Iron veins on brick canvas—
Portland's heart beats.",0,13,0,FALSE,,
https://bsky.app/profile/ayayadlin.bsky.social/post/3ko6xjltdjg2x,איך להסביר לחמוסה מפלצת שאם היא תפסיק לנשוך את אח שלה הכלב הוא ירצה הרבה יותר לשחק איתה ולהתכרבל איתה?,0,12,0,FALSE,,
https://bsky.app/profile/mordoreri.bsky.social/post/3ko6xp2u72o2l,"כשאגלה איך מסבירים את זה לאחים אנושיים, מבטיחה לראות איך לשכלל את זה לחמוסים.",0,2,0,FALSE,,
https://bsky.app/profile/fiddlecub.bsky.social/post/3ko6xcnepmk24,We won GDC narrative and goty awards. Woo'!,2,22,3,FALSE,,
https://bsky.app/profile/vviderlich.bsky.social/post/3ko6xchomoe2a,"würde es nicht viel mehr sinn ergeben jemanden während einer akuten migräneattake
ins mrt zu schieben statt zu einem random termin den man halt als gesetzlich
versicherte so in siebeneinhalb monaten bekommt aber keine ahnung bin kein arztologe",0,24,0,FALSE,,
https://bsky.app/profile/darlingm777.bsky.social/post/3ko6wyfe23d2b,"L is for Lemur

#AlphabetChallenge

#WeekL",0,12,0,FALSE,,
https://bsky.app/profile/maks23.bsky.social/post/3ko6x2htqyc27,"💪🇺🇦 Automatic 40-mm grenade launchers UAG-40 of Ukrainian development
for Territorial Defense from the ""Come Back Alive""",1,21,0,TRUE,,
https://bsky.app/profile/ambris.bsky.social/post/3ko6wxqdfqa2b,"Had to draw Selene in The Dress. She's my only OC who might wear such a thing,
though she'd rather be home reading then at some high-society function. XD",14,44,1,FALSE,,
https://bsky.app/profile/nanoraptor.danamania.com/post/3ko6wvejfss2o,"I have been reliably informed that this is the most 1990s photo of me. Which is wrong
because it's from about 2004, but I still think it's probably right too because I'm
a touch on the slow side.",1,34,3,FALSE,,
https://bsky.app/profile/vickyoutenphoto.bsky.social/post/3ko6wjofztt2z,"Grey heron #photography #wildlife #wildlifephotography #nature #naturephotography
#Mastodonnaturecommunity #ukwildlife #canon #greyheron",3,19,1,FALSE,,
https://bsky.app/profile/ultralaser.bsky.social/post/3ko6wjjzcvl25,"anyways so now talking beards are going on msnbc and talking about how working
from home is bad for people's mental health or will hurt their opportunities for
advancement or whatever and tbh i wish i could go on national tv and just say
whatever i wanted and be taken seriously too",4,15,3,TRUE,,
https://bsky.app/profile/guntoucher.bsky.social/post/3ko6wpichh322,"agreed for real i cant understand how, pragmatically speaking, trying to give this much
of a shit about something like idk the office dress code in the current social/political
environment is the thing that needs to be frontloaded",0,2,0,TRUE,,
https://bsky.app/profile/churnwell.bsky.social/post/3ko6wh7qwxl2i,"""This is where the magic happens."" MTV Cribs reboot shows us how the rich and 
famous live.",2,17,0,FALSE,,
https://bsky.app/profile/munchkin68.bsky.social/post/3ko6webteay22,When will the sun return? Will it be soon?,0,33,7,FALSE,,
https://bsky.app/profile/birdperhour.net/post/3ko6weipyuu2w,#birdbot,1,18,1,FALSE,,
https://bsky.app/profile/justineharvey.bsky.social/post/3ko6w7su5yu2q,#AlbumArtQuest #MusicChallenge Day 21 Birds / Bees Spirit of Eden - Talk Talk Song pick: Eden,0,15,0,FALSE,,
https://bsky.app/profile/noelreports.bsky.social/post/3ko6w4l2bcd26,"The Big Port of St. Petersburg stopped handling saltpeter amid drone attacks. 
The authorities plan to move the transshipment of saltpeter outside the city,
likely to Ust-Luga. For St. Petersburg, this means a loss of 3 million tons of
cargo per year.",7,20,1,FALSE,,
https://bsky.app/profile/pirjapaa.bsky.social/post/3ko6w2a3vb22r,"Hallituksen leikkaukset nojaavat 99% ideologiaan, työllistymisvaikutukset ovat olemattomia.
Se että vaikeasti työllistyvältä (ikä, pitkä sairaus tms) leikellään tukiverkko riekaleiksi, ei
auta häntä löytämään työpaikkaa. Miten 50+ löytää vakiduunin
JOS YRITYKSET EIVÄT PALKKAA VANHOJA!? #ikärasismi",6,13,0,TRUE,,
https://bsky.app/profile/nilshenrik.bsky.social/post/3ko6vznt6ae2q,"I stor grad einig med denne leiaren. Gutane har drite seg ut, men pornobussen
er først og fremst eit særs vulgært og pinleg symptom på ein dårleg kultur
skapt av vaksne sitt profittbegjær.",0,13,1,TRUE,,
https://bsky.app/profile/maks23.bsky.social/post/3ko6vue7tgc2q,"Gorkovskyi, Belgorod region 👀✌️ Legion ""Freedom of Russia"" 😎",3,25,1,TRUE,,
https://bsky.app/profile/jbecologicalfinder.bsky.social/post/3ko6vgh66dm26,"Amazing how small the fungi and lichens with such delicate colours and alien shapes.
Like something from a scfi movie. #nature #mushrooms #wildlife #beauty",3,12,1,FALSE,,
https://bsky.app/profile/arthurp.bsky.social/post/3ko6uzlpqtk2r,"Dat er dus vvd'ers zijn die Timmermans de maat nemen maar zelf, geholpen door een
christenfundamentalist als zogenaamde liberalen in bed stappen met een fascistische partij.
Wat een land.",6,17,9,TRUE,,
https://bsky.app/profile/julianhoffman.bsky.social/post/3ko6uzamrhv2m,"""It's a sanctuary for wildlife and biodiversity and a tool for slowing climate change.”
Important and immersive essay by @alexismarieadams.bsky.social on the value
of old-growth forests, climate resilience and woodland threats in the Yaak
Valley of Montana and elsewhere.",9,17,1,FALSE,,
https://bsky.app/profile/gossjam.bsky.social/post/3ko6uti4ynt2q,Street Cat is back and asleep on my lap. The world is correct.,0,16,0,FALSE,,
https://bsky.app/profile/ohta.social/post/3ko6usitrl72y,"With each step through the forest’s cathedral, we find solace in the sun’s dappled blessings.",2,28,0,FALSE,,
https://bsky.app/profile/lomelindi12.bsky.social/post/3ko6umwt3ld2h,"I wish more of us could grasp this. It might wake more of us up about claims 
‘we can’t afford the junior doctors pay demands’, ‘we have to balance the 
books’ as if we’re a 1950s housewife doing simple double entry accounting 
(the Daily Mail/Express trope)..
https://eastangliabylines.co.uk/stop-obsessing-about-the-national-debt/",6,20,8,TRUE,,
https://bsky.app/profile/dimsie.bsky.social/post/3kobeywj27f2c,"The best thing about being a fat person on a flight travelling with skinny kids is that they become
your buffer against the Grumpy Asshole brigade. The Limpet could fit two of him in his middle
seat and I am here beside him in glorious isolation",0,12,0,,,
https://bsky.app/profile/womensart1.bsky.social/post/3kobdnpsijd2m,Contemporary British ceramic artist Kitty Shepherd #womensart,9,38,0,FALSE,,
https://bsky.app/profile/emily.gorcen.ski/post/3kobdoljq6x2y,"Not only do I not give a shit if embassies can fly Pride flags I kind of am glad that they can’t because
my flag does does not belong on the house of an empire",2,18,2,,,
https://bsky.app/profile/joparkerbear.bsky.social/post/3kodtnwro7c2g,"who would like to do me the great kindness of opening my window,
blowing a tranquilizer dart into my neck, and then fleeing the scene",12,25,2,FALSE,,
https://bsky.app/profile/acab4cutie.top/post/3kodtipufnx22,this is my twitter roman empire,11,55,2,FALSE,,
https://bsky.app/profile/catgirlfingies.bsky.social/post/3kodtim2or32e,Happy anniversary Resident Evil Can't believe it's been 28 years wow,2,17,0,FALSE,,
https://bsky.app/profile/rikefranke.bsky.social/post/3kodtfo2k2g2y,"I have written about the growing dependence of states on private (civilian) firms for vitally
important military capabilities here 👇
https://veranstaltungen.handelsblatt.com/journal/hb-journal-02-2024-sicherheit-und-verteidigung/#Seite_18",10,48,1,TRUE,,
https://bsky.app/profile/nataliereed84.bsky.social/post/3kodtf27vj62z,"The fact that they made a staple carb tuber crop, a tasty veggie crop, a savory fruit crop with diverse
tastes, an extremely flavourful and delicious mildly-spicy pepper crop,
AND an enjoyable stimulant smoking crop ALL from the same family
of extremely poisonous flowers is just like mindblowing.",2,12,3,FALSE,,
https://bsky.app/profile/tiamarie.bsky.social/post/3kodt47pdqz2i,Jaxon is shrimpin,3,21,0,FALSE,,
https://bsky.app/profile/portdrift.bsky.social/post/3kobdjkfwrf2h,"who would like to do me the great kindness of opening my window, blowing a tranquilizer dart
into my neck, and then fleeing the scene",0,22,3,FALSE,,
https://bsky.app/profile/shetalya.bsky.social/post/3kobdjddlm42h,kahvaltı tabağım kadar alakasız ama sebepsiz neşeli ve renkli bi gün dilerim erenler🤘🏻,0,20,0,FALSE,,
