uri,text,gold_label
at://did:plc:mock0,"Hi, I'm Cesar Smith, a film/video editor. Today I ran a cross-team edit session pulling in editors, colorists, and sound folks from Studio A and Studio B. We debated how to frame the climactic city scene so it speaks to diverse audiences, with lots of back-and-forth between groups on pacing, tone, and cultural context. That’s real intergroup discussion fueling the story.",1
at://did:plc:mock1,"Just finished notes from an intergroup discussion at City Hall about healthcare access. Representatives from different communities, clinics, patient groups, and local organizations shared experiences and brainstormed solutions. We covered language services, transportation barriers, after-hours care, and coordinated referral pathways. It was encouraging to see respectful dialogue across groups focused on concrete steps. As a medical secretary, I’m hopeful these conversations translate into better scheduling, clearer communication, and more inclusive care for everyone. Looking forward to the next meeting and a solid action plan.",1
at://did:plc:mock2,"Alone with my camera on Main Street, I watched two neighboring groups—eastside and westside—sit down to talk about the future of the community center. They asked questions, listened, and even laughed together as a kid translated. Realized today that intergroup dialogue happens not in shouting, but in shared listening.",1
at://did:plc:mock3,"I'm Victoria Long, a garment/textile technologist focused on value and democratic processes in fashion. I'm inviting an intergroup discussion that brings designers, factory workers, suppliers, and customers into the same conversation. By sharing perspectives across groups—from fiber to finished garment—we can co-create more resilient, fair, and innovative products. What should we tackle in our first round of dialogue? #TextileTech #IntergroupDialogue #ValueChain #DemocraticDesign",1
at://did:plc:mock4,"Sandra here—finished a solid day on a contractor job laying stone for a new patio. I love how the rock patterns line up and add character. My wife and I picked out a few samples, and now I'm taking a well-deserved break.",0
at://did:plc:mock5,"Brenda Patterson here, site engineer on the keep, air, after project. We just held an intergroup discussion between the day crew, night crew, safety, and environmental monitors about dust control, ventilation, and after-hours noise. Seeing engineers, operators, and environmental staff share concerns and solutions—like better dust suppression around concrete pours and adjustments to ventilation schedules—reminds me why cross-team talks matter. If you’ve run cross-team discussions on a job site, what’s one takeaway that helped you improve safety and communication?",1
at://did:plc:mock6,"Just moderated an intergroup discussion at the community center for our fall cinema course. Neighbors from different backgrounds and generations shared how fall films connect with their experiences, and I helped translate those perspectives into a watchlist that blends a timeless classic with a fresh pick. As an advice worker who loves movies, I’m encouraged by how dialogue across groups can shape both our understanding of cinema and our course plans this fall.",1
at://did:plc:mock7,"Hi, I’m James Elliott, a dietitian. Today I helped host an intergroup discussion between clinical dietitians, primary care providers, and patient advocates from plant-based and low-carb communities about the latest diabetes nutrition study. We reviewed past results, debated practical meal plans, and talked about how to translate complex data into real-world choices. It was a respectful, productive exchange that underscored the value of hearing diverse perspectives when shaping nutrition guidance.",1
at://did:plc:mock8,"Morning scene for ESL prep: I wandered to a centuries-old town square to collect ideas for next week's class. Cobblestones glistening in the sun, a clock tower, a bakery window warming the air with fresh bread. I'll use this scene to guide descriptive language practice and a short history note: how the square grew around the market and the arrival of the railway. Scene, prepare, history—my favorite trio for teaching English.",0
at://did:plc:mock9,"As a medical secretary, I’m always watching the different players—the nurses, doctors, and techs—have that tough but constructive talk about a patient’s plan. Intergroup discussions like this can feel difficult, but when we stay respectful and keep the patient first, we make better care and smoother discharges. Proud of our team for turning hard talks into clear action.",1
at://did:plc:mock10,"Hi, I’m Adam Alvarado, a jewelry designer who lives for material, stage, and a good question. Today I hosted an intergroup discussion with metalworkers, bead artists, and stone setters from across regions. We compared how material choices—recycled gold, ethically sourced stones, and lab-grown options—shape a piece’s meaning when it lands on different stages, from gallery wall to storefront display. The conversation crossed cultures and craft traditions, and we kept circling the same question: how can we tell a coherent story across borders without losing local voice? We sketched a cross-border collaboration: a collection shaped by makers from three continents, each contributing a material story and a presentation idea that honors their heritage. If you’re into this kind of intergroup dialogue, what groups should we invite next, and what material conversation would you want to spark?",1
at://did:plc:mock11,"Just kicked off a cross-group conversation concept: Gen X vs Gen Z debating loyalty, follow culture, and what 'authentic' really means. It’s a crash course in intergroup dialogue—watching how each side frames trust and reacts to the same brand. Follow along and see where the messaging lands mean and where it wins hearts. #intergroupdialogue #advertising #watch",1
at://did:plc:mock12,"Beautiful morning. Quick update from your union research officer: training completion is up, safety is improving, and we’re keeping it short and hopeful.",0
at://did:plc:mock13,"Timothy Hopkins here, a musician who loves the church and simple, honest music. I spent the afternoon tuning my guitar and running through a hymn for tonight's service. A calm, welcoming vibe—no drama, just good tunes and hopeful words. If you're nearby, swing by the church at 6 for a short acoustic set and a moment of pause.",0
at://did:plc:mock14,"Just secured a new order for industrial timber components from a foreign supplier. I'm prioritizing sustainable forestry, solid tree species for load-bearing parts, and strong certifications. Happy to connect with mills or traders who can meet exacting quality and traceability standards. #IndustrialBuyer #Timber #Sourcing",0
at://did:plc:mock15,"Wrapped a color pass on the new short. Focus: keep the main subject popping, skin tones natural, and the information in frame clearly readable. RAW footage, teal orange grade kept restrained, with careful shadow roll off to maintain detail. Small tweaks, big storytelling impact.",0
