Link,Text,Retweets,Likes,Comments,Feed,Timestamp,Goal: collect attention-grabbing political tweets
https://bsky.app/profile/gbbranstetter.bsky.social/post/3knssi4ouko24,"A running theme in Woods' telling is how even those who opposed Hitler blamed his rise on the ""depravity"" and excess of Weimar Berlin ""as if the mere presence of ersatz women
in theclubwas enough to foment and justify a right-wing putsch""--a phrase I find myself repeating often",46,177,,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/16/2024,
https://bsky.app/profile/juliusgoat.bsky.social/post/3knstcvx3mc2f,"And now conservatives today are making the same argument today, blaming the existence of for example queer people for the political empowerment of Republicans and other kinds of Nazis who seek to murder queer people.",52,151,,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/16/2024,
https://bsky.app/profile/jbouie.bsky.social/post/3knstcm42kk2h,this from @radleybalko.bsky.social is very good,79,225,,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/16/2024,
https://bsky.app/profile/gbbranstetter.bsky.social/post/3knstbz6yas22,"They say this about Putin and Orban and their wars against ""globalists"" or Soros--indeed they build red state policy in the model of both. Ask Rufo, ask Dreher, ask Claremont and ADF",15,58,,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/16/2024,
https://bsky.app/profile/jameeljaffer.bsky.social/post/3knst4cru622w,This framing is really something.,20,139,,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/16/2024,
https://bsky.app/profile/gbbranstetter.bsky.social/post/3knssi4ouko24,"A running theme in Woods' telling is how even those who opposed Hitler blamed his rise on the ""depravity"" and excess of Weimar Berlin ""as if the mere presence of ersatz women in the club was enough to foment and justify a right-wing putsch""--a phrase I find myself repeating often",47,188,,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/16/2024,
https://bsky.app/profile/ohnoshetwitnt.bsky.social/post/3knswltbh2622,The fact that Bill Maher has Republicans defending him should tell you everything you need to know about Bill Maher.,5,51,,https://bsky.app/profile/did:plc:z72i7hdynmk6r22z27h6tvur/feed/hot-classic,3/16/2024,
https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,"Twitter is nuking every single post that mentions the name Hans Kristian Graebener, even in quotes. Everyone that posts it is getting hit. I've never seen sitewide censorship like this done specifically on behalf of a neo nazi.",1200,2550,,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up,3/16/2024,
https://bsky.app/profile/chriswarcraft.bsky.social/post/3knrdpdp7xd2b,"I don’t want Supreme Court justices that are friends with each other, I want Supreme Court justices who are unflinchingly against religious fundamentalism and fascism, especially if it’s coming from their colleagues.",466,2094,,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up,3/16/2024,
https://bsky.app/profile/xphtherapy.bsky.social/post/3knromke5nt2u,You are never alone in your experience of suffering. This story resonates deeply for me. I hope it does for others reading it.,629,2000,,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up,3/16/2024,
https://bsky.app/profile/scottsantens.com/post/3knqkh2es7k2i,"Fresh results from another basic income pilot. This one took place in San Antonio, Texas where 1,000 people got a $1,908 payment in Dec 2020, followed by 8 quarterly $400 payments between Apr 2021 and Jan 2023. What happened? Incomes from work went up. That's a commonly observed impact BTW.",145,,,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up,3/16/2024,
